ja,en
あの人[ひと]はだれですか,who is that person; hito means person.
飛行機[ひこうき]の中[なか]で映画[えいが]を見[み]ました,I watched a movie on the plane; hikouki means airplane.
駅[えき]で電車[でんしゃ]の切符[きっぷ]を買[か]いました,I bought a train ticket at the station; kippu means ticket.
電話[でんわ]で店[みせ]の予約[よやく]をしました,I made a reservation at the restaurant by phone; yoyaku means reservation.
知[し]らない町[まち]では地図[ちず]を見[み]ます,I look at a map in towns I do not know; chizu means map.
この川[かわ]には古[ふる]い橋[はし]があります,there is an old bridge over this river; hashi means bridge.
毎日[まいにち]自転車[じてんしゃ]で駅[えき]まで行[い]きます,I go to the station by bicycle every day; jitensha means bicycle.
電車[でんしゃ]の中[なか]で席[せき]に座[すわ]りました,I sat down in a seat on the train; seki means seat.
あの信号[しんごう]を右[みぎ]に行[い]くと病院[びょういん]です,turn right at that traffic light and you reach the hospital; shingou means traffic light.
この階段[かいだん]は暗[くら]いので気[き]をつけてください,these stairs are dark so please be careful; kaidan means stairs.
近所[きんじょ]に新[あたら]しい店[みせ]ができました,a new shop opened in my neighborhood; kinjo means neighborhood.
隣[となり]の部屋[へや]から音[おと]が聞[き]こえます,I can hear a sound from the room next door; tonari means next door.
会社[かいしゃ]の先輩[せんぱい]に仕事[しごと]を教[おし]えてもらいました,a senior colleague taught me the work; senpai means senior colleague.
この会社[かいしゃ]には若[わか]い社員[しゃいん]がたくさんいます,this company has many young employees; shain means company employee.
事務所[じむしょ]は駅[えき]のすぐ近[ちか]くにあります,the office is right near the station; jimusho means office.
明日[あした]の朝[あさ]から大[おお]きい会議[かいぎ]があります,there is a big meeting from tomorrow morning; kaigi means meeting.
今週[こんしゅう]の予定[よてい]を教[おし]えてください,please tell me your schedule for this week; yotei means plan or schedule.
友達[ともだち]と三時[さんじ]に約束[やくそく]をしました,I made an appointment with my friend at three; yakusoku means promise or appointment.
来週[らいしゅう]日本語[にほんご]の試験[しけん]があります,there is a Japanese exam next week; shiken means exam.
この学校[がっこう]の生徒[せいと]はみんな元気[げんき]です,the pupils at this school are all lively; seito means pupil.
授業[じゅぎょう]の前[まえ]に教科書[きょうかしょ]を読[よ]みます,I read the textbook before class; kyoukasho means textbook.
先生[せんせい]が黒板[こくばん]に大[おお]きく名前[なまえ]を書[か]きました,the teacher wrote a name large on the blackboard; kokuban means blackboard.
学生[がくせい]は教室[きょうしつ]で先生[せんせい]を待[ま]っています,the students are waiting for the teacher in the classroom; kyoushitsu means classroom.
この学校[がっこう]の制服[せいふく]は青[あお]いです,the uniform of this school is blue; seifuku means uniform.
日本語[にほんご]の辞書[じしょ]をいつも使[つか]っています,I always use a Japanese dictionary; jisho means dictionary.
鉛筆[えんぴつ]を使[つか]って宿題[しゅくだい]をします,I do my homework with a pencil; enpitsu means pencil.
友達[ともだち]に旅行[りょこう]の葉書[はがき]を送[おく]りました,I sent my friend a postcard from the trip; hagaki means postcard.
明日[あした]は学校[がっこう]の遠足[えんそく]があります,the school excursion is tomorrow; ensoku means excursion.
明日[あした]の試合[しあい]をみんなで見[み]に行[い]きます,we are all going to watch tomorrow's match; shiai means match.
友達[ともだち]からまだ返事[へんじ]が来[き]ません,there is still no reply from my friend; henji means reply.
あの選手[せんしゅ]はとても速[はや]く走[はし]ります,that player runs very fast; senshu means player or athlete.
旅行[りょこう]の準備[じゅんび]をしています,I am getting ready for the trip; junbi means preparation.
日本[にほん]での生活[せいかつ]はとても楽[たの]しいです,life in Japan is very enjoyable; seikatsu means daily life.
世界[せかい]には知[し]らない国[くに]がたくさんあります,there are many countries in the world that I do not know; sekai means world.
山[やま]の近[ちか]くに大[おお]きい森[もり]があります,there is a big forest near the mountain; mori means forest.
夏[なつ]の夜[よる]は虫[むし]の声[こえ]が聞[き]こえます,on summer nights you can hear insects; mushi means insect.
公園[こうえん]の池[いけ]に魚[さかな]がいます,there are fish in the pond in the park; ike means pond.
空[そら]に白[しろ]い雲[くも]がたくさんあります,there are many white clouds in the sky; kumo means cloud.
昨日[きのう]の夜[よる]は星[ほし]がよく見[み]えました,the stars were easy to see last night; hoshi means star.
今日[きょう]の月[つき]はとても大[おお]きくてきれいです,the moon is very big and beautiful today; tsuki means moon.
出[で]かける時[とき]は新[あたら]しい靴[くつ]を履[は]くつもりです,I plan to wear my new shoes when I go out; haku means to put on footwear.
暑[あつ]い日[ひ]は帽子[ぼうし]を被[かぶ]るといいです,on hot days it is good to wear a hat; kaburu means to put on the head.
毎日[まいにち]電車[でんしゃ]で会社[かいしゃ]に通[かよ]うのは大変[たいへん]です,commuting to the company by train every day is hard; kayou means to commute.
来月[らいげつ]新[あたら]しい家[いえ]に引[ひ]っ越[こ]します,I am moving to a new house next month; hikkosu means to move house.
旅行[りょこう]の時[とき]は友達[ともだち]の家[いえ]に泊[と]まります,when I travel I stay at my friend's house; tomaru means to stay overnight.
大切[たいせつ]な物[もの]はきれいな紙[かみ]で包[つつ]むといいです,it is good to wrap precious things in nice paper; tsutsumu means to wrap.
箱[はこ]に本[ほん]を詰[つ]めて友達[ともだち]に送[おく]りました,I packed books in a box and sent them to my friend; tsumeru means to pack.
明日[あした]の朝[あさ]は晴[は]れるでしょう,it will probably clear up tomorrow morning; hareru means to clear up.
今日[きょう]は強[つよ]い風[かぜ]が吹[ふ]くかもしれません,a strong wind may blow today; fuku means to blow.
この公園[こうえん]では春[はる]にたくさんの花[はな]が咲[さ]くそうです,I hear many flowers bloom in this park in spring; saku means to bloom.
夏[なつ]に海[うみ]で泳[およ]ぐのが好[す]きです,I like swimming in the sea in summer; oyogu means to swim.
来週[らいしゅう]友達[ともだち]と山[やま]に登[のぼ]るつもりです,I plan to climb the mountain with a friend next week; noboru means to climb.
封筒[ふうとう]に切手[きって]を貼[は]るのを忘[わす]れないでください,please do not forget to put a stamp on the envelope; haru means to stick on.
古[ふる]い切手[きって]を剥[は]がすのは難[むずか]しいです,peeling off an old stamp is difficult; hagasu means to peel off.
この電車[でんしゃ]は次[つぎ]の駅[えき]に止[と]まりません,this train does not stop at the next station; tomaru means to come to a stop.
この古[ふる]い時計[とけい]はまだ動[うご]くと思[おも]います,I think this old clock still works; ugoku means to move or run.
寒[さむ]い日[ひ]は首[くび]に何[なに]か巻[ま]くといいです,on cold days it is good to wrap something around your neck; maku means to wind around.
電車[でんしゃ]が止[と]まって会議[かいぎ]に遅[おく]れました,the train stopped and I was late for the meeting; okureru means to be late.
夏[なつ]は髪[かみ]を結[むす]ぶと涼[すず]しいです,in summer it feels cool if you tie your hair up; musubu means to tie.
中[なか]の物[もの]が出[で]ないように袋[ふくろ]の口[くち]を締[し]めます,I tighten the mouth of the bag so nothing comes out; shimeru means to tighten.
部屋[へや]の壁[かべ]に古[ふる]い絵[え]を掛[か]けました,I hung an old picture on the wall of the room; kakeru means to hang.
天気[てんき]がいい日[ひ]は布団[ふとん]を干[ほ]すといいです,on days with good weather it is good to air the futon; hosu means to hang out to dry.
今日[きょう]の午後[ごご]に荷物[にもつ]が届[とど]くと思[おも]います,I think the parcel will arrive this afternoon; todoku means to be delivered.
重[おも]い机[つくえ]を一人[ひとり]で運[はこ]ぶのは大変[たいへん]です,carrying a heavy desk alone is hard; hakobu means to carry.
洗濯[せんたく]した服[ふく]を畳[たた]むのは大変[たいへん]です,folding the washed clothes is a chore; tatamu means to fold.
床[ゆか]に何[なに]か敷[し]くと座[すわ]りやすいです,it is easier to sit if you spread something on the floor; shiku means to spread out.
机[つくえ]の上[うえ]に皿[さら]を並[なら]べました,I lined up the plates on the table; naraberu means to line things up.
子供[こども]は指[ゆび]を使[つか]って数[かぞ]えます,children count using their fingers; kazoeru means to count.
熱[あつ]い物[もの]に触[さわ]ると怪我[けが]をします,you get hurt if you touch hot things; sawaru means to touch.
子供[こども]は物[もの]を投[な]げるのが好[す]きです,children like throwing things; nageru means to throw.
子供[こども]の時[とき]から古[ふる]い切符[きっぷ]を集[あつ]めています,I have collected old tickets since I was a child; atsumeru means to collect.
朝[あさ]は庭[にわ]を掃[は]くことにしています,I make a point of sweeping the garden in the morning; haku means to sweep.
机[つくえ]の上[うえ]から本[ほん]が落[お]ちました,a book fell off the desk; ochiru means to fall.
子供[こども]が落[お]として卵[たまご]が割[わ]れました,my child dropped an egg and it broke; wareru means to break into pieces.
古[ふる]い冷蔵庫[れいぞうこ]が壊[こわ]れてしまいました,the old fridge has broken down; kowareru means to break down.
壊[こわ]れた時計[とけい]を直[なお]すことができますか,can you fix this broken clock; naosu means to fix.
風邪[かぜ]が治[なお]るまで家[いえ]で休[やす]みます,I will rest at home until my cold gets better; naoru means to get better.
子供[こども]は走[はし]って転[ころ]ぶことが多[おお]いです,children often run and fall over; korobu means to fall over.
新[あたら]しい仕事[しごと]にもう慣[な]れました,I have already gotten used to the new job; nareru means to get used to.
雨[あめ]の日[ひ]は道[みち]が滑[すべ]るので危[あぶ]ないです,the road is slippery on rainy days so it is dangerous; suberu means to slip.
猫[ねこ]が窓[まど]から外[そと]に逃[に]げました,the cat escaped outside through the window; nigeru means to run away.
犬[いぬ]が猫[ねこ]を追[お]うのを見[み]ました,I saw a dog chasing a cat; ou means to chase.
子供[こども]と一緒[いっしょ]に犬[いぬ]を飼[か]うことにしました,we decided to keep a dog with the children; kau means to keep an animal.
困[こま]っている人[ひと]を助[たす]けたいです,I want to help people who are in trouble; tasukeru means to save or help.
その話[はなし]を聞[き]くとみんな驚[おどろ]くでしょう,everyone will be surprised to hear that story; odoroku means to be surprised.
朝[あさ]早[はや]く鳥[とり]が鳴[な]くのが聞[き]こえます,I can hear birds singing early in the morning; naku means to chirp or cry as an animal.
この庭[にわ]では花[はな]がよく育[そだ]つと思[おも]います,I think flowers grow well in this garden; sodatsu means to grow up.
約束[やくそく]を忘[わす]れると母[はは]は怒[おこ]るでしょう,my mother will get angry if I forget the promise; okoru means to get angry.
遅[おく]れた時[とき]はすぐに謝[あやま]る方[ほう]がいいです,when you are late it is better to apologize right away; ayamaru means to apologize.
仕事[しごと]が多[おお]い時[とき]は友達[ともだち]に頼[たの]むことがあります,when I have a lot of work I sometimes ask a friend; tanomu means to request.
今度[こんど]友達[ともだち]を映画[えいが]に誘[さそ]うつもりです,I plan to invite my friend to a movie next time; sasou means to invite.
庭[にわ]に新[あたら]しい木[き]を植[う]えました,I planted a new tree in the garden; ueru means to plant.
明日[あした]空港[くうこう]で友達[ともだち]を迎[むか]えます,I will meet my friend at the airport tomorrow; mukaeru means to go to meet.
今日[きょう]の夜[よる]は肉[にく]を焼[や]くつもりです,I plan to grill meat tonight; yaku means to grill or bake.
分[わ]からない言葉[ことば]を辞書[じしょ]で調[しら]べます,I look up words I do not know in a dictionary; shiraberu means to look into.
お茶[ちゃ]を飲[の]む前[まえ]にお湯[ゆ]を沸[わ]かします,I boil water before drinking tea; wakasu means to boil water.
夏[なつ]は水[みず]を冷蔵庫[れいぞうこ]で冷[ひ]やします,in summer I chill water in the fridge; hiyasu means to chill.
天気[てんき]が急[きゅう]に変[か]わりました,the weather changed suddenly; kawaru means to change.
この町[まち]は若[わか]い人[ひと]が増[ふ]えました,young people have increased in this town; fueru means to increase.
休[やす]みの日[ひ]は家[いえ]で静[しず]かに過[す]ごします,on days off I spend time quietly at home; sugosu means to spend time.
三時[さんじ]までに事務所[じむしょ]に戻[もど]るつもりです,I plan to be back at the office by three; modoru means to return.
部屋[へや]の電気[でんき]が急[きゅう]に消[き]えました,the light in the room suddenly went out; kieru means to go out or disappear.
客[きゃく]にお茶[ちゃ]を注[そそ]ぐのは私[わたし]の仕事[しごと]です,pouring tea for the guests is my job; sosogu means to pour.
明日[あした]は部屋[へや]の壁[かべ]を白[しろ]く塗[ぬ]るつもりです,tomorrow I plan to paint the wall of the room white; nuru means to paint.
子供[こども]が紙[かみ]に絵[え]を描[か]くのを見[み]ていました,I was watching the child drawing a picture on paper; kaku means to draw.
公園[こうえん]でごみを拾[ひろ]うのはいいことです,picking up trash in the park is a good thing; hirou means to pick up.
もう着[き]ない服[ふく]を捨[す]てました,I threw away clothes I no longer wear; suteru means to throw away.
食事[しょくじ]の後[あと]で台所[だいどころ]を片付[かたづ]けます,I tidy up the kitchen after meals; katazukeru means to tidy up.
寝[ね]る前[まえ]に歯[は]を磨[みが]くのを忘[わす]れないでください,please do not forget to brush your teeth before bed; migaku means to brush or polish.
小[ちい]さく野菜[やさい]を切[き]ると食[た]べやすいです,vegetables are easy to eat if you cut them small; kiru means to cut.
卵[たまご]と砂糖[さとう]をよく混[ま]ぜます,mix the egg and sugar well; mazeru means to mix.
冷[つめ]たい料理[りょうり]を温[あたた]めて食[た]べます,I warm up cold food before eating it; atatameru means to warm up.
傘[かさ]がなくて服[ふく]が濡[ぬ]れました,I had no umbrella and my clothes got wet; nureru means to get wet.
紙[かみ]を小[ちい]さく折[お]ると袋[ふくろ]に入[はい]ります,if you fold the paper small it fits in the bag; oru means to fold.
明日[あした]先生[せんせい]にこの手紙[てがみ]を渡[わた]すつもりです,I plan to hand this letter to the teacher tomorrow; watasu means to hand over.
机[つくえ]の上[うえ]に本[ほん]を積[つ]むと危[あぶ]ないです,it is dangerous to pile books on the desk; tsumu means to pile up.
明日[あした]の都合[つごう]がいい時間[じかん]を教[おし]えてください,please tell me a time that is convenient for you tomorrow; tsugou means convenience or availability.
先生[せんせい]の意見[いけん]をもっと聞[き]きたいです,I want to hear more of the teacher's opinion; iken means an opinion.
遅[おく]れた理由[りゆう]を教[おし]えてください,please tell me the reason you were late; riyuu means a reason.
先生[せんせい]がこの問題[もんだい]を説明[せつめい]してくれました,the teacher explained this problem for me; setsumei suru means to explain.
来週[らいしゅう]の予定[よてい]についてみんなで話[はな]し合[あ]いました,we all talked over next week's schedule; hanashiau means to discuss together.
その質問[しつもん]の答[こた]えがわかりません,I do not know the answer to that question; kotae means an answer.
明日[あした]、会社[かいしゃ]で新[あたら]しい仕事[しごと]の打[う]ち合[あ]わせをします,tomorrow we will hold a briefing about the new job at the office; uchiawase means a business meeting.
会議[かいぎ]の資料[しりょう]をメールで送[おく]りました,I sent the meeting materials by email; shiryou means documents or materials.
明日[あした]の朝[あさ]、電話[でんわ]で連絡[れんらく]します,I will contact you by phone tomorrow morning; renraku suru means to get in touch.
仕事[しごと]のことを友達[ともだち]に相談[そうだん]しました,I talked over work matters with a friend; soudan suru means to consult.
メールをもう一度[いちど]確認[かくにん]してください,please check the email one more time; kakunin suru means to confirm.
今[いま]から会議[かいぎ]の資料[しりょう]を準備[じゅんび]します,I will prepare the meeting materials now; junbi suru means to prepare.
この資料[しりょう]の内容[ないよう]はとても大切[たいせつ]です,the content of this document is very important; naiyou means content.
新[あたら]しい資料[しりょう]を作[つく]ることを依頼[いらい]しました,I requested that new materials be made; irai suru means to request.
もっと簡単[かんたん]な方法[ほうほう]があると思[おも]います,I think there is a simpler method; houhou means a method.
来月[らいげつ]の計画[けいかく]をみんなで話[はな]しました,we all talked about next month's plan; keikaku means a plan.
テストの結果[けっか]は来週[らいしゅう]わかります,the test results will be known next week; kekka means a result.
この会議[かいぎ]の目的[もくてき]をはじめに説明[せつめい]します,first I will explain the purpose of this meeting; mokuteki means a purpose.
彼[かれ]は仕事[しごと]の経験[けいけん]がたくさんあります,he has a lot of work experience; keiken means experience.
会議[かいぎ]の結果[けっか]をメールで報告[ほうこく]しました,I reported the meeting result by email; houkoku suru means to report.
新[あたら]しい情報[じょうほう]があったらすぐに教[おし]えてください,please tell me right away if there is new information; jouhou means information.
来月[らいげつ]の旅行[りょこう]の日程[にってい]をまだ決[き]めていません,we have not decided the schedule for next month's trip yet; nittei means a schedule of dates.
友達[ともだち]と駅[えき]で会[あ]う約束[やくそく]をしました,I promised to meet a friend at the station; yakusoku suru means to promise.
父[ちち]は今日[きょう]とても機嫌[きげん]がいいです,my father is in a very good mood today; kigen means a person's mood.
母[はは]はいつもわたしのことを心配[しんぱい]しています,my mother always worries about me; shinpai suru means to worry.
友達[ともだち]の連絡[れんらく]を聞[き]いて安心[あんしん]しました,I heard from my friend and felt relieved; anshin suru means to feel at ease.
今日[きょう]は天気[てんき]がよくて気分[きぶん]がいいです,the weather is nice today so I feel great; kibun means mood.
彼女[かのじょ]はとても明[あか]るい性格[せいかく]です,she has a very cheerful personality; seikaku means personality.
わたしの趣味[しゅみ]は古[ふる]い映画[えいが]を見[み]ることです,my hobby is watching old movies; shumi means a hobby.
子[こ]どものときの夢[ゆめ]は先生[せんせい]になることでした,my childhood dream was to become a teacher; yume means a dream.
外国[がいこく]で働[はたら]きたいという希望[きぼう]があります,I have a hope of working abroad; kibou means hope.
電車[でんしゃ]の中[なか]で友達[ともだち]と会話[かいわ]を楽[たの]しみました,I enjoyed a conversation with a friend on the train; kaiwa means conversation.
会話[かいわ]の相手[あいて]の話[はなし]をよく聞[き]きましょう,let us listen carefully to the person we are talking with; aite means the other party.
メールを読[よ]んだら、すぐに返信[へんしん]してください,please reply as soon as you read the email; henshin suru means to reply.
友達[ともだち]に新[あたら]しい店[みせ]を紹介[しょうかい]しました,I introduced a new shop to my friend; shoukai suru means to introduce.
駅[えき]から会社[かいしゃ]まで案内[あんない]します,I will show you the way from the station to the office; annai suru means to guide.
友達[ともだち]をうちの晩[ばん]ごはんに招待[しょうたい]しました,I invited a friend to dinner at my place; shoutai suru means to invite.
来週[らいしゅう]の会議[かいぎ]に参加[さんか]します,I will take part in next week's meeting; sanka suru means to participate.
病気[びょうき]で会議[かいぎ]に出席[しゅっせき]できませんでした,I could not attend the meeting because I was sick; shusseki suru means to attend.
来月[らいげつ]の計画[けいかく]をみんなの前[まえ]で発表[はっぴょう]します,I will present next month's plan in front of everyone; happyou suru means to announce.
もっといい方法[ほうほう]を先生[せんせい]に提案[ていあん]しました,I proposed a better method to the teacher; teian suru means to propose.
わたしはその意見[いけん]に賛成[さんせい]します,I agree with that opinion; sansei suru means to agree.
父[ちち]はわたしの計画[けいかく]に反対[はんたい]しました,my father opposed my plan; hantai suru means to oppose.
説明[せつめい]を聞[き]いて、やっと理解[りかい]しました,I finally understood after hearing the explanation; rikai suru means to understand.
少[すく]ない情報[じょうほう]で判断[はんだん]するのは難[むずか]しいです,judging from little information is difficult; handan suru means to judge.
十年後[じゅうねんご]の世界[せかい]を想像[そうぞう]してみましょう,let us imagine the world ten years from now; souzou suru means to imagine.
明日[あした]の天気[てんき]を予想[よそう]するのは難[むずか]しいです,predicting tomorrow's weather is difficult; yosou suru means to predict.
彼[かれ]の意見[いけん]にはまだ納得[なっとく]できません,I am not convinced by his opinion yet; nattoku suru means to be convinced.
この部屋[へや]は少[すこ]し寒[さむ]く感[かん]じます,this room feels a little cold; kanjiru means to feel.
先生[せんせい]はわたしの意見[いけん]を認[みと]めてくれました,the teacher accepted my opinion; mitomeru means to acknowledge.
わたしは友達[ともだち]の話[はなし]を信[しん]じています,I believe what my friend says; shinjiru means to believe.
会社[かいしゃ]はわたしの仕事[しごと]に期待[きたい]しています,the company expects a lot from my work; kitai suru means to expect.
日本[にほん]の音楽[おんがく]に興味[きょうみ]があります,I am interested in Japanese music; kyoumi means interest.
外国[がいこく]の文化[ぶんか]を知[し]ることは面白[おもしろ]いです,learning about foreign cultures is interesting; bunka means culture.
この町[まち]には長[なが]い歴史[れきし]があります,this town has a long history; rekishi means history.
この祭[まつ]りは町[まち]の古[ふる]い伝統[でんとう]です,this festival is an old tradition of the town; dentou means tradition.
毎日[まいにち]日本語[にほんご]を話[はな]す習慣[しゅうかん]をつけたいです,I want to build a habit of speaking Japanese every day; shuukan means a habit.
子[こ]どもの教育[きょういく]について家族[かぞく]で話[はな]しました,we talked as a family about our children's education; kyouiku means education.
大学[だいがく]で日本[にほん]の歴史[れきし]を研究[けんきゅう]しています,I do research on Japanese history at university; kenkyuu suru means to do research.
科学[かがく]の本[ほん]を読[よ]むのが好[す]きです,I like reading science books; kagaku means science.
この会社[かいしゃ]は新[あたら]しい技術[ぎじゅつ]を使[つか]っています,this company uses new technology; gijutsu means technology.
彼[かれ]は車[くるま]の知識[ちしき]がとても多[おお]いです,he has a great deal of knowledge about cars; chishiki means knowledge.
彼女[かのじょ]は英語[えいご]の能力[のうりょく]が高[たか]いです,her English ability is high; nouryoku means ability.
彼[かれ]には音楽[おんがく]の才能[さいのう]があります,he has a talent for music; sainou means talent.
毎日[まいにち]少[すこ]しずつ努力[どりょく]しています,I make a little effort every day; doryoku suru means to make an effort.
毎晩[まいばん]、ピアノを練習[れんしゅう]しています,I practice the piano every night; renshuu suru means to practice.
来月[らいげつ]、会社[かいしゃ]で三日間[みっかかん]の研修[けんしゅう]があります,next month there is a three day training at the company; kenshuu means training.
兄[あに]は大学[だいがく]の試験[しけん]に合格[ごうかく]しました,my older brother passed the university exam; goukaku suru means to pass.
姉[あね]は去年[きょねん]、大学[だいがく]を卒業[そつぎょう]しました,my older sister graduated from university last year; sotsugyou suru means to graduate.
今[いま]の職場[しょくば]の人[ひと]はみんな優[やさ]しいです,everyone at my current workplace is kind; shokuba means a workplace.
日本語[にほんご]の発音[はつおん]は難[むずか]しくないと思[おも]います,I do not think Japanese pronunciation is difficult; hatsuon means pronunciation.
毎日[まいにち]、新[あたら]しい単語[たんご]を覚[おぼ]える練習[れんしゅう]をします,every day I practice memorizing new words; tango means a vocabulary word.
この文章[ぶんしょう]の意味[いみ]がよくわかりません,I do not really understand the meaning of this text; bunshou means a sentence or text.
気持[きも]ちを言葉[ことば]で表現[ひょうげん]するのは難[むずか]しいです,expressing feelings in words is difficult; hyougen suru means to express.
この本[ほん]を英語[えいご]に翻訳[ほんやく]したいです,I want to translate this book into English; honyaku suru means to translate.
学校[がっこう]を出[で]てから社会[しゃかい]のことがわかってきました,after leaving school I came to understand society; shakai means society.
政府[せいふ]は新[あたら]しい計画[けいかく]を説明[せつめい]しました,the government explained a new plan; seifu means the government.
若[わか]い人[ひと]は政治[せいじ]のニュースをあまり見[み]ません,young people rarely watch political news; seiji means politics.
新[あたら]しい法律[ほうりつ]が来年[らいねん]から始[はじ]まります,a new law starts next year; houritsu means a law.
会社[かいしゃ]の規則[きそく]をよく読[よ]んでください,please read the company rules carefully; kisoku means rules.
この国[くに]の新[あたら]しい制度[せいど]はいいと思[おも]います,I think this country's new system is good; seido means a system.
買[か]い物[もの]をすると税金[ぜいきん]を払[はら]います,you pay tax when you go shopping; zeikin means tax.
会社[かいしゃ]の保険[ほけん]に入[はい]っています,I am covered by the company insurance; hoken means insurance.
来月[らいげつ]、この町[まち]で選挙[せんきょ]があります,there is an election in this town next month; senkyo means an election.
多[おお]くの市民[しみん]が選挙[せんきょ]に行[い]きました,many citizens went to the election; shimin means a citizen.
この町[まち]の人口[じんこう]は十万人[じゅうまんにん]ぐらいです,this town's population is about one hundred thousand; jinkou means population.
この地域[ちいき]は静[しず]かで住[す]みやすいです,this area is quiet and easy to live in; chiiki means an area.
地元[じもと]の人[ひと]はこの店[みせ]をよく使[つか]います,local people use this shop a lot; jimoto means one's local area.
この会社[かいしゃ]は働[はたら]く環境[かんきょう]がいいです,this company has a good working environment; kankyou means environment.
田舎[いなか]の自然[しぜん]はとてもきれいです,the nature in the countryside is beautiful; shizen means nature.
この町[まち]は交通[こうつう]が便利[べんり]です,transport in this town is convenient; koutsuu means traffic or transport.
朝[あさ]の道路[どうろ]は車[くるま]がとても多[おお]いです,there are many cars on the road in the morning; douro means a road.
あの高[たか]い建物[たてもの]は新[あたら]しい会社[かいしゃ]です,that tall building is a new company; tatemono means a building.
兄[あに]は去年[きょねん]、小[ちい]さい家[いえ]を建[た]てました,my older brother built a small house last year; tateru means to build.
電車[でんしゃ]が事故[じこ]で三十分[さんじゅっぷん]遅[おく]れました,the train was thirty minutes late due to an accident; jiko means an accident.
事故[じこ]のあと、すぐに警察[けいさつ]を呼[よ]びました,we called the police right after the accident; keisatsu means the police.
この地域[ちいき]は犯罪[はんざい]が少[すく]ないです,this area has little crime; hanzai means crime.
昨日[きのう]の事件[じけん]のニュースを見[み]ました,I saw the news about yesterday's incident; jiken means an incident.
この会社[かいしゃ]は毎朝[まいあさ]ニュースを放送[ほうそう]しています,this company broadcasts the news every morning; housou suru means to broadcast.
この新聞[しんぶん]の記事[きじ]はとても面白[おもしろ]いです,the article in this newspaper is very interesting; kiji means an article.
この番組[ばんぐみ]は毎週[まいしゅう]日曜日[にちようび]にあります,this program is on every Sunday; bangumi means a broadcast program.
電車[でんしゃ]の広告[こうこく]を見[み]てその店[みせ]を知[し]りました,I saw the ad on the train and learned about that shop; koukoku means an advertisement.
大[おお]きい企業[きぎょう]で働[はたら]きたいです,I want to work at a big corporation; kigyou means an enterprise.
部長[ぶちょう]に新[あたら]しい資料[しりょう]を見[み]せました,I showed the new materials to the department head; buchou means a department head.
わたしの上司[じょうし]はとても優[やさ]しい人[ひと]です,my boss is a very kind person; joushi means a boss.
同僚[どうりょう]と昼[ひる]ごはんを食[た]べました,I ate lunch with a colleague; douryou means a colleague.
この仕事[しごと]の担当[たんとう]はわたしです,I am the one in charge of this job; tantou means being in charge.
顧客[こきゃく]からの意見[いけん]をよく聞[き]きます,we listen carefully to opinions from customers; kokyaku means a customer.
この店[みせ]の商品[しょうひん]は安[やす]くていいです,the goods at this shop are cheap and good; shouhin means a product.
その商品[しょうひん]の値段[ねだん]を教[おし]えてください,please tell me the price of that product; nedan means price.
今年[ことし]の売上[うりあげ]は去年[きょねん]より多[おお]いです,this year's sales are higher than last year; uriage means sales.
今月[こんげつ]の給料[きゅうりょう]は少[すこ]し多[おお]かったです,this month's salary was a little higher; kyuuryou means salary.
昨日[きのう]は九時[くじ]まで残業[ざんぎょう]しました,yesterday I worked overtime until nine; zangyou suru means to work overtime.
明日[あした]、新[あたら]しい会社[かいしゃ]の面接[めんせつ]があります,tomorrow I have an interview at a new company; mensetsu means a job interview.
面接[めんせつ]の前[まえ]に履歴書[りれきしょ]を送[おく]ります,I will send my resume before the interview; rirekisho means a resume.
姉[あね]は大[おお]きい企業[きぎょう]に就職[しゅうしょく]しました,my older sister got a job at a big corporation; shuushoku suru means to find employment.
来週[らいしゅう]、大阪[おおさか]に出張[しゅっちょう]します,next week I will go on a business trip to Osaka; shucchou suru means to travel for work.
この店[みせ]の営業[えいぎょう]は夜[よる]九時[くじ]までです,this shop's business hours run until nine at night; eigyou means business operations.
この契約[けいやく]の内容[ないよう]をよく読[よ]んでください,please read the contents of this contract carefully; keiyaku means a contract.
この仕事[しごと]の責任[せきにん]はとても重[おも]いです,the responsibility for this job is very heavy; sekinin means responsibility.
資料[しりょう]の締切[しめきり]は今週[こんしゅう]の金曜日[きんようび]です,the deadline for the materials is this Friday; shimekiri means a deadline.
締切[しめきり]までに資料[しりょう]を提出[ていしゅつ]してください,please submit the materials by the deadline; teishutsu suru means to submit.
この書類[しょるい]に名前[なまえ]を書[か]いてください,please write your name on this document; shorui means a document.
銀行[ぎんこう]で新[あたら]しい手続[てつづ]きをしました,I did the new paperwork at the bank; tetsuzuki means a procedure.
このサイトに名前[なまえ]とメールを登録[とうろく]しました,I registered my name and email on this site; touroku suru means to register.
部長[ぶちょう]の許可[きょか]をもらってから休[やす]みます,I will take time off after getting the department head's permission; kyoka means permission.
この部屋[へや]では飲[の]み物[もの]を禁止[きんし]しています,drinks are prohibited in this room; kinshi suru means to prohibit.
車[くるま]に注意[ちゅうい]して道[みち]を渡[わた]ってください,please watch out for cars when you cross the road; chuui suru means to pay attention.
夜[よる]、一人[ひとり]でこの道[みち]を歩[ある]くのは危険[きけん]です,walking this road alone at night is dangerous; kiken means danger.
この町[まち]は夜[よる]でも安全[あんぜん]です,this town is safe even at night; anzen means safety.
初[はじ]めての仕事[しごと]で失敗[しっぱい]してしまいました,I made a mistake on my first job; shippai suru means to fail.
