es,en
**Es** para mí,"It's for me; ser in the present, for he/she/it — this is what it is, not how it happens to be right now."
Nadie **piensa** en mí,"Nobody thinks about me; pensar in the present, for he/she/it — thinks, with pensar en for thinking about something."
No es mi **país**,"It is not my country; Masculine noun for country, with plural países."
Soy el **rey** del mundo,"I am the king of the world; Masculine noun for king, with plural reyes, which also covers the Three Wise Men."
**Perdón** por lo de ayer,"Sorry about yesterday; Masculine noun for a standalone apology, or a request to get past."
Hace **falta** más tiempo,"More time is needed; Feminine noun for a lack, and hacer falta means to be needed."
**Pienso** en ti siempre,"I think about you always; pensar in the present, for I — I think."
¿Dónde **diablos** estabas?,"Where the hell were you?; Plural of the masculine diablo, used as a mild intensifier after questions."
He **perdido** mi trabajo,"I have lost my job; past participle of perder (the -ed form, pairs with haber), meaning lost or missed."
Esa **niña** es mi hija,That girl is my daughter; Feminine noun for a girl of roughly under twelve.
¿Está bien **señorita**?,"Are you all right miss?; Feminine title for a young woman, now dated as a way to address someone."
**Lleva** dos horas esperando,"He has been waiting two hours; llevar in the present, for he/she/it — with a time span it means has been doing something."
Está en el **hospital**,"He is in hospital; Masculine noun for hospital, with plural hospitales, and it keeps the article."
Alguien te ha **llamado**,"Somebody has called you; past participle of llamar (the -ed form, pairs with haber), meaning called or named."
¿Qué **hacemos** ahora?,"What do we do now?; hacer in the present, for we — also used to mean let's do."
¿Me puedes **llevar** a casa?,"Can you take me home?; the plain form of llevar, to take or carry something away from here."
¿Tienes **fuego**?,"Got a light?; Masculine noun for fire, and asking for fuego asks for a light."
Él **tuvo** la culpa,"It was his fault; tener in the past, for he/she/it — it happened, it's over, and tener la culpa means to be blamed."
Voy a **poner** música,"I am going to put some music on; the plain form of poner, to put or place — the yo form is pongo."
Hay gente en la **calle**,"There are people in the street; Feminine noun for street, and en la calle can mean outdoors."
**Acaba** de salir,"He has just left; acabar in the present, for he/she/it — acabar de means to have just done something."
Es la **prueba** que necesito,"It is the proof I need; Feminine noun for proof, a test, or a rehearsal or fitting."
Este **libro** es mío,This book is mine; Masculine noun for a book.
Todo está en **orden**,"Everything is in order; Masculine el orden means sequence, while feminine la orden is a command."
Estuvo aquí dos **semanas**,"He was here for two weeks; Plural of the feminine semana, meaning weeks."
¿Quieres un **café**?,"Do you want a coffee?; Masculine noun for coffee and for the cafe, with plural cafés."
Vamos a **empezar** ahora,"We are going to start now; the plain form of empezar, to begin — the yo form is empiezo, and empezar a comes before another plain form."
**Queremos** hablar contigo,"We want to talk with you; querer in the present, for we — we want or we love someone."
¿De quién es este **perro**?,"Whose dog is this?; Masculine noun for dog, with feminine perra."
Mira el **cielo**,Look at the sky; Masculine noun for the sky and also for heaven.
¿Cuál es tu **puesto**?,What is your position?; Masculine noun for a job post or a market stall.
¿Cómo fue el **viaje**?,How was the trip?; Masculine noun for a trip or journey.
¿Qué **haría** él?,"What would he do?; hacer in the would-form, for he/she/it — would do or would make."
No hagas más **preguntas**,"Do not ask any more questions; Feminine plural of pregunta for questions, which you hacer rather than say."
¿Qué **piensas** tú?,"What do you think?; pensar in the present, for you (tú) — to think or hold an opinion."
Te he **querido** siempre,"I have always loved you; past participle of querer (the -ed form, pairs with haber) — loved or wanted, and also dear."
Voy a **buscar** ayuda,"I am going to get help; the plain form of buscar, to look for or fetch — no preposition after it."
No te **diré** nada,"I will not tell you anything; decir in the future, for I — I will say or tell."
Eso **suena** bien,"That sounds good; sonar in the present, for he/she/it — to sound or to ring."
¿Quieres **jugar** conmigo?,"Do you want to play with me?; the plain form of jugar, to play a game or a sport."
Necesito **cambio** para el café,I need change for the coffee; Masculine noun for a change or the coins from a payment.
Vamos a ver una **película**,Let us watch a movie; Feminine noun for a movie or a roll of film.
Eso vale **millones**,"That is worth millions; Masculine plural of millón for millions, and it takes de before a noun."
**Habrá** una fiesta mañana,"There will be a party tomorrow; haber in the future, for he/she/it — there will be, and it stays singular."
El **resto** es para ti,The rest is for you; Masculine noun for the rest or remainder of something.
Nos **vemos** mañana,"See you tomorrow; ver in the present, for we — we see, and also see you later."
El **presidente** habla ahora,The president is speaking now; Masculine noun for a president with la presidenta used for a woman.
¿Dónde está mi **ropa**?,"Where are my clothes?; Feminine noun for clothes, kept singular even for a whole wardrobe."
No quiero **perder** el tiempo,"I do not want to waste time; the plain form of perder, to lose or miss something, or to waste time."
**Vuelve** a casa ya,Come back home now; volver as a command to one person (tú) — come back or return.
El **agente** quiere hablar contigo,"The agent wants to talk to you; Noun with the same form for a man or a woman, meaning an agent or officer."
No tengo **palabras**,I have no words; Feminine plural of palabra for words spoken or given as a promise.
No hay **información** todavía,"There is no information yet; Feminine noun for information, never used in the plural."
¿Qué **hará** ahora?,"What will he do now?; hacer in the future, for he/she/it — he or she will do."
¿**Entiendes** lo que digo?,"Do you understand what I am saying?; entender in the present, for you (tú) — to understand or grasp a meaning."
Estoy **trabajando** aquí,I am working here; trabajar in the -ing form — working right at this moment.
Solo estaba **tratando** de ayudar,"I was just trying to help; tratar in the -ing form — trying, and it takes de before the next verb."
Es un **trato** justo,It is a fair deal; Masculine noun for a deal or the way someone treats you.
¿Puedo **usar** tu teléfono?,"Can I use your phone?; the plain form of usar, to use, and also to wear clothes."
No tienes **derecho**,You have no right; Masculine noun for a legal right and also for the study of law.
De ningún **modo**,No way; Masculine noun for a way or manner of doing something.
Llámame cuando **quieras**,"Call me whenever you like; querer in the subjunctive (after wishes, doubt, hopes), for you (tú) — whatever you may want."
**Podríamos** ir mañana,"We could go tomorrow; poder in the would-form, for we — we could or we might."
¿Has visto las **noticias**?,Have you seen the news?; Feminine plural of noticia for the news or single news items.
No lo he **encontrado**,"I have not found it; past participle of encontrar (the -ed form, pairs with haber) — found or come across."
Todo está bajo **control**,Everything is under control; Masculine noun for control and also for a checkpoint or inspection.
No hay lugar para el **odio**,There is no room for hate; Masculine noun for hatred and also the yo form of odiar.
Estoy **frente** a tu casa,"I am in front of your house; Noun used like a preposition in frente a, meaning facing or opposite."
El **sexo** no es amor,Sex is not love; Masculine noun for sex as the act or as male and female.
**Estaré** aquí mañana,"I will be here tomorrow; estar in the future, for I — I will be somewhere or somehow."
¡Tienen **armas**!,"They have guns!; Feminine plural of arma for weapons, though the singular is el arma."
¿**Recuerdas** mi nombre?,"Do you remember my name?; recordar in the present, for you (tú) — to remember, with no preposition after it."
Es una **amiga** de mi hermana,She is a friend of my sister; Feminine noun for a female friend.
El **grupo** ya está aquí,"The group is already here; Masculine noun for a group, and it takes a singular verb."
No es tu **asunto**,It is none of your business; Masculine noun for a matter or affair or someone's business.
**Acabo** de llegar,"I have just arrived; acabar in the present, for I — to finish, and with de it means just did."
Deja un **mensaje**,Leave a message; Masculine noun for a message.
Gracias por su **atención**,"Thank you for your attention; Feminine noun for attention, and ¡atención! is shouted as a warning."
Eso hace **daño**,That hurts; Masculine noun for harm with hacer daño meaning to hurt.
¿Qué **sucede** aquí?,"What's going on here?; suceder in the present, for he/she/it — to happen or take place."
No quiero **cambiar** nada,"I don't want to change anything; the plain form of cambiar, to change or exchange something."
No **seas** así,"Don't be like that; ser in the subjunctive (after wishes, doubt, hopes), for you (tú) — negative commands must use this form."
¿Qué tienes en la **boca**?,"What have you got in your mouth?; Feminine noun, a mouth or the opening of a river or tunnel."
Ella me **dejó** ayer,"She left me yesterday; dejar in the past, for he/she/it — left behind or allowed, it happened, it's over."
Fue un **error** mío,"It was my mistake; Masculine noun, a mistake taking the verb cometer."
A lo **largo** del camino,"Along the way; Masculine noun, length and a lo largo de means along or throughout."
Vale la **pena**,"It's worth it; Feminine noun, grief or pity and valer la pena means to be worthwhile."
Escucha su **voz**,"Listen to her voice; Feminine noun, a voice with plural voces and en voz alta meaning aloud."
No pienso en el **futuro**,"I don't think about the future; Masculine noun, the future normally taking the article as en el futuro."
Mi madre no se **siente** bien,"My mother doesn't feel well; sentir in the present, for he/she/it — to feel, with sentirse for one's own state."
Es un **secreto** entre nosotros,"It's a secret between us; Masculine noun, a secret and en secreto means secretly."
¿Dónde está el **baño**?,"Where's the bathroom?; Masculine noun, a bathroom or a bath."
**Pensaba** que era tu amigo,"I thought he was your friend; pensar in the past, for I or he/she/it — a belief held back then, over a stretch of time."
Ella es mi **novia**,"She's my girlfriend; Feminine noun, a girlfriend or a bride at a wedding."
Tengo **sueño** ahora,"I'm sleepy now; Masculine noun, a dream or sleepiness as in tener sueño."
**Haz** lo que quieras,"Do whatever you want; hacer as a command to one person (tú), irregular — do or make, with haga for usted."
No tengo **fuerza** hoy,"I've got no strength today; Feminine noun, strength or force and a la fuerza means by force."
**Deben** esperar aquí,"They have to wait here; deber in the present, for they — must or ought to."
¿Qué se **supone** que haga?,"What am I supposed to do?; suponer in the present, for he/she/it — to suppose, as in se supone que."
**Estábamos** en la fiesta,"We were at the party; estar in the past, for we — a background state or scene back then, over a stretch of time."
**Estuve** allí dos horas,"I was there for two hours; estar in the past, for I — a stay bounded and finished, it happened, it's over."
No **encontré** mi teléfono,"I didn't find my phone; encontrar in the past, for I — found or came across, it happened, it's over."
Ha **vuelto** a casa,"He's come back home; past participle of volver (the -ed form, pairs with haber), irregular — come back or returned."
Siento mucho **dolor**,"I'm in a lot of pain; Masculine noun, pain taking de for the body part as dolor de cabeza."
Me **encanta** tu casa,"I love your house; encantar in the present, for he/she/it — to delight, so the thing loved is the subject."
¿Qué **edad** tienes?,"How old are you?; Feminine noun, age asked about with tener rather than ser."
Está de **pie** ahí,"He's standing over there; Masculine noun, a foot and de pie means standing."
Quiero **ganar** dinero,"I want to earn money; the plain form of ganar, to earn or to win."
No hay **aire** aquí,"There's no air in here; Masculine noun, air or a draught and al aire libre means outdoors."
Lo **lamento** mucho,"I'm very sorry; lamentar in the present, for I — to regret, and lo lamento apologises."
Fue un **asesinato**,"It was a murder; Masculine noun, a murder while the killer is el asesino."
Nadie me **vio** entrar,"Nobody saw me go in; ver in the past, for he/she/it — saw or caught sight of, it happened, it's over."
Ha **llegado** el momento,"The moment has come; past participle of llegar (the -ed form, pairs with haber) — arrived, and it takes a for the destination."
**Disculpe** ¿puede ayudarme?,Excuse me can you help me?; disculpar as a polite command to one person — excuse me to a stranger politely.
Tengo una **cita** mañana,"I have an appointment tomorrow; Feminine noun, an appointment or date and also a quotation."
Sin ti no **estaría** aquí,"Without you I wouldn't be here; estar in the would-form, for I or he/she/it — what would be the case."
¿Por qué **fuiste** allí?,"Why did you go there?; ir in the past, for you (tú) — you went, it happened, it's over, and ser shares this form."
No entiendo este **sistema**,"I don't understand this system; Masculine noun, a system despite the final a so el sistema."
Mucho **gusto** señora,"Pleased to meet you madam; Masculine noun, taste or pleasure as in the greeting mucho gusto."
Tengo un **negocio** aquí,"I run a business here; Masculine noun, a business or a deal."
Eso está en tu **mente**,"That's in your head; Feminine noun, the mind and tener en mente means to bear in mind."
Vivir en el **campo**,"To live in the countryside; Masculine noun, the countryside or a field or a sports pitch."
**Mire** usted esto,"Take a look at this; mirar as a polite command to one person — look, with mira for tú."
No entiendes la **situación**,"You don't understand the situation; Feminine noun, a situation with plural situaciones."
Estamos en el **hotel**,"We're at the hotel; Masculine noun, a hotel building where travellers stay."
Esto no **funciona**,"This doesn't work; funcionar in the present, for he/she/it — to work, said of machines and plans."
Quiero una **foto** contigo,"I want a photo with you; Feminine noun, a photo shortened from la fotografía with plural fotos."
Necesito un **abogado** ahora,"I need a lawyer now; Masculine noun, a lawyer with feminine form la abogada."
He **terminado** mi trabajo,"I've finished my work; past participle of terminar (the -ed form, pairs with haber) — finished or completed."
Tengo que **pagar** el hotel,"I have to pay for the hotel; the plain form of pagar, to pay for something or settle a bill."
Él **mató** a mi padre,"He killed my father; matar in the past, for he/she/it — it happened, it's over, and a goes before a person as the object."
Te **llamo** mañana,"I'll call you tomorrow; llamar in the present, for I — to call by phone or to name someone."
¿Cómo te **sientes** hoy?,"How do you feel today?; sentirse in the present, for you (tú) — asking how you feel right now."
¿Qué te **ocurre**?,"What's wrong with you?; ocurrir in the present, for he/she/it — to happen, often with no real subject."
Nadie **recuerda** mi nombre,"Nobody remembers my name; recordar in the present, for he/she/it — to remember, or to remind someone."
Es la **mitad** del dinero,"It's half the money; Feminine noun for a half, used as la mitad de something."
Haz lo que **quiera** ella,"Do whatever she wants; querer in the subjunctive (after wishes, doubt, hopes), for he/she/it — an open choice after lo que."
Me gusta tu **pelo**,I like your hair; Masculine noun for hair as a whole head or a single strand.
¿**Tenías** miedo?,"Were you scared?; tener in the past, for you (tú) — that's how it was back then, over a stretch of time."
¿**Viste** mi foto?,"Did you see my photo?; ver in the past, for you (tú) — it happened, it's over, meaning saw."
Mi hermana **llegó** tarde,"My sister arrived late; llegar in the past, for he/she/it — it happened, it's over, meaning arrived or reached a place."
Gracias por tu **compañía**,Thanks for your company; Feminine noun for a business firm or the company of another person.
No tenemos ninguna **relación**,"We have no relationship at all; Feminine noun for a relationship or connection, plural relaciones."
Mi padre **conoce** la ciudad,"My father knows the city; conocer in the present, for he/she/it — knowing people and places, with irregular conozco for I."
No quiero que **pase** nada,"I don't want anything to happen; pasar in the subjunctive (after wishes, doubt, hopes), for he/she/it — needed after quiero que."
Tengo un **montón** de trabajo,"I have loads of work; Masculine noun for a heap, and un montón de means loads of."
**Creí** que era mi amigo,"I thought he was my friend; creer in the past, for I — it happened, it's over, a belief I no longer hold."
La **cena** está lista,Dinner is ready; Feminine noun for dinner the evening meal.
No puedo **sentir** mi mano,"I can't feel my hand; the plain form of sentir, to feel physically or to regret."
Fue a **través** de mi hermano,"It was through my brother; Masculine noun living only in a través de, meaning across or by way of."
Fue un **accidente**,It was an accident; Masculine noun for an accident or car crash blaming nobody.
Tú **eras** el jefe,"You were the boss; ser in the past, for you (tú) — that's how it was back then, over a stretch of time."
No **pudo** ayudar,"He couldn't help; poder in the past, for he/she/it — it happened, it's over, managing or failing at one moment."
Mi madre **vive** aquí,"My mother lives here; vivir in the present, for he/she/it — lives or is alive."
Hasta la **vista**,"See you around; Feminine noun for sight or a view, fixed here as a farewell."
Espera en la **línea**,"Hold the line; Feminine noun for a phone line, a queue or a drawn line."
Por aquí **caballeros**,"This way gentlemen; Masculine plural of caballero for gentlemen, also the label on men's toilets."
¿Qué **haremos** ahora?,"What will we do now?; hacer in the future, for we — built on the irregular stem har-."
Me **dan** mucho miedo,"They really scare me; dar in the present, for they — as in dar miedo, to frighten."
Voy a la **tienda**,"I'm going to the shop; Feminine noun for a shop, and also a tent in tienda de campaña."
Quiero **comprar** un coche,"I want to buy a car; the plain form of comprar, to buy."
¿Has **entendido** la pregunta?,"Have you understood the question?; past participle of entender (the -ed form, pairs with haber) — its ending never changes."
Trabajo en el **centro**,I work downtown; Masculine noun for the city centre or downtown.
Hace un **mes** de eso,"That was a month ago; Masculine noun for a month, plural meses."
Hay mucho **sol** hoy,"It's very sunny today; Masculine noun for the sun or sunshine, as in hace sol."
No seas **tonto**,"Don't be silly; Masculine noun and adjective for a fool or silly, feminine tonta."
Tengo mucha **hambre**,"I'm really hungry; Feminine noun for hunger, though it takes el in the singular."
La comida está en la **mesa**,"The food is on the table; Feminine noun for a table, as in poner la mesa."
Necesito una **respuesta** ahora,I need an answer now; Feminine noun for an answer or a reaction.
Es una **carta** de mi hija,"It's a letter from my daughter; Feminine noun for a letter, a playing card or a restaurant menu."
No tenemos **pruebas**,"We have no evidence; Feminine plural of prueba meaning evidence, while the singular is a test."
Ese es su **novio**,"That's her boyfriend; Masculine noun for a boyfriend or groom, feminine novia."
¿Te **gustan** mis ojos?,"Do you like my eyes?; gustar in the present, for they — agreeing with the things liked."
No **pude** dormir anoche,"I couldn't sleep last night; poder in the past, for I — it happened, it's over, with the stem vowel becoming u."
¿De quién es este **traje**?,Whose suit is this?; Masculine noun for a suit or outfit.
Dame la **dirección**,"Give me the address; Feminine noun for an address, a direction or a company's management."
Me **dijeron** la verdad,"They told me the truth; decir in the past, for they — it happened, it's over, on the irregular stem dij-."
Ha sido un **placer**,"It's been a pleasure; Masculine noun for pleasure, as in con placer."
Espero que **sean** amigos,"I hope they'll be friends; ser in the subjunctive (after wishes, doubt, hopes), for they — after espero que."
**Tendrá** que esperar,"He will have to wait; tener in the future, for he/she/it — will have, and with que it means must or have to."
¿Dónde está el **barco**?,Where is the boat?; Masculine noun for a boat or ship of any size.
Mi **profesor** es muy joven,My teacher is very young; Masculine noun for a teacher at school or university with feminine la profesora.
Gracias por el **servicio**,Thanks for the service; Masculine noun for service and in Spain los servicios means the toilets.
Ese **muchacho** es mi hijo,That boy is my son; Masculine noun for a boy or young lad and slightly dated or regional.
Tengo una **reunión** a las tres,I have a meeting at three; Feminine noun for a meeting or gathering with plural reuniones.
Lo he **dejado** en casa,"I have left it at home; past participle of dejar (the -ed form, pairs with haber) — to leave something or let something happen."
Eso es la **ley**,That is the law; Feminine noun for a law or rule with plural leyes.
**Quisiera** hablar con usted,"I would like to speak with you; querer in the past subjunctive, for I — a polite way to say I would like."
**Hubo** un accidente,"There was an accident; haber in the past, for he/she/it — there was, for one finished occasion that's over."
Me gusta este **programa**,I like this show; Masculine noun despite its final a meaning a programme show or plan.
Mi **carrera** ha terminado,My career is over; Feminine noun meaning a career a race or a university degree.
Hoy es mi **cumpleaños**,Today is my birthday; Masculine noun for a birthday and identical in singular and plural.
¡Vamos **muchachos**!,Let us go guys!; Masculine plural of muchacho for boys or a mixed group of youngsters.
Un dolor en el **culo**,A pain in the ass; Masculine noun for the backside and crude in every region.
Esta **canción** me encanta,I love this song; Feminine noun for a song with plural canciones.
Mi hija está en la **universidad**,My daughter is at university; Feminine noun for university normally used with the article la.
¿Vas a la **boda**?,Are you going to the wedding?; Feminine noun for a wedding ceremony and the party after it.
No **tengas** miedo,"Do not be afraid; tener in the subjunctive, for you (tú) — after no it makes a negative command."
¿Qué **hacía** tu padre?,"What did your father do?; hacer in the past, for he/she/it — used to do or was doing, over a stretch of time."
Espero que **estés** bien,"I hope you are well; estar in the subjunctive (after wishes, doubt, hopes), for you (tú) — how or where something is at the moment."
Te espero en la **sala**,I will wait for you in the living room; Feminine noun for a living room in Latin America or a hospital ward.
**Llevo** dos horas aquí,"I have been here two hours; llevar in the present, for I — to carry, and with a time it means to have been."
Es tu **decisión**,It is your decision; Feminine noun for a decision which you take with tomar and plural decisiones.
**Espere** un momento por favor,Wait a moment please; esperar as a polite command to one person — wait.
Pásame la **sal**,Pass me the salt; Feminine noun for salt and feminine despite its consonant ending.
Nadie **entra** aquí,"Nobody comes in here; entrar in the present, for he/she/it — to go in, followed by en or a."
Sin **embargo** no es verdad,However it is not true; Masculine noun for an embargo though sin embargo is a fixed phrase meaning however.
Quiero **escuchar** la música,"I want to listen to the music; the plain form of escuchar, to listen to something deliberately."
Mi **abuela** vive aquí,My grandmother lives here; Feminine noun for a grandmother with masculine abuelo and los abuelos the grandparents.
¿Qué **hicieron** ustedes?,"What did you all do?; hacer in the past, for they — they did or they made, and it's over."
Está en el **suelo**,It is on the floor; Masculine noun for the floor indoors or the ground outside.
¿Puedo ver las **fotos**?,Can I see the photos?; Feminine plural of foto meaning photos and feminine because it shortens fotografía.
Tu hermano está en la **cárcel**,Your brother is in prison; Feminine noun for a prison with plural cárceles.
Mi madre siempre **decía** eso,"My mother always said that; decir in the past, for he/she/it — used to say or was saying, over a stretch of time."
Estoy **intentando** dormir,"I am trying to sleep; the -ing form of intentar — trying, and it is followed by a plain verb."
Es una **maldición** de familia,It is a family curse; Feminine noun for a curse and also an exclamation of annoyance.
Necesito un poco de **silencio**,I need a bit of quiet; Masculine noun for silence and en silencio means silently.
Mi jefe ya **salió**,"My boss already left; salir in the past, for he/she/it — went out or left, it happened, it's over."
Nos vemos en el **club**,See you at the club; Masculine noun for a club with plural los clubes.
Tengo que **terminar** esto,"I have to finish this; the plain form of terminar, to finish or end something."
**Temo** que sea tarde,"I am afraid it is late; temer in the present, for I — to fear, and it is followed by the subjunctive."
Solo era una **broma**,It was just a joke; Feminine noun for a joke which you make with hacer una broma.
El **gobierno** no dice la verdad,The government does not tell the truth; Masculine noun for the government and always with a singular verb.
Te lo **prometo**,"I promise you; prometer in the present, for I — to promise."
Mira a la **cámara**,Look at the camera; Feminine noun for a camera and also a chamber in a legislative body.
Tu madre **llamó** anoche,"Your mother called last night; llamar in the past, for he/she/it — called, and it needs the personal a."
Es un **regalo** para ti,It is a gift for you; Masculine noun for a present from the verb regalar.
Todos están **muertos**,They are all dead; Masculine plural of muerto meaning dead or the dead as people.
Es un **ataque** al corazón,It is a heart attack; Masculine noun for an attack including a heart attack or panic attack.
¿Por qué no me **das** algo?,"Why don't you give me something?; dar in the present, for you (tú) — to give."
Estoy aquí por **negocios**,I'm here on business; Masculine plural noun for business in general or dealings.
Ojalá **pudiera** ayudarte,"I wish I could help you; poder in the past subjunctive, for I — for wishes that aren't real."
El **avión** ya se fue,The plane already left; Masculine noun for an airplane.
Es una **investigación** de la policía,It's a police investigation; Feminine noun for an investigation or piece of research.
Todo **acabó** bien,"It all ended well; acabar in the past, for he/she/it — to finish or end, it happened and it's over."
Hay que **mantener** el silencio,"We have to keep quiet; the plain form of mantener, to keep or maintain or support."
Mi hijo está en el **ejército**,My son is in the army; Masculine noun for an army.
Necesito un **papel**,I need a piece of paper; Masculine noun for paper or a sheet and also an actor's role.
Está en dos **partes**,It's in two parts; Feminine plural of parte meaning parts or shares.
Yo no **diría** eso,"I wouldn't say that; decir the would-form, for I or he/she/it — would say."
Al **principio** no lo sabía,At first I didn't know; Masculine noun for a beginning and also a moral principle.
**Teniente** tenemos un problema,Lieutenant we have a problem; Noun for a lieutenant with the same form for a woman.
No tengo ningún **deseo**,I have no desire at all; Masculine noun for a wish or desire.
No quiero que te **vayas**,"I don't want you to go; ir in the subjunctive (after wishes, doubt, hopes), for you (tú) — to go."
La **nave** no funciona,The ship isn't working; Feminine noun for a large ship or a spacecraft.
Nadie **sale** de aquí,"Nobody leaves here; salir in the present, for he/she/it — to leave or go out."
Todo esto es **basura**,All this is garbage; Feminine noun for rubbish or trash and also nonsense.
No hay **contacto** con el equipo,There's no contact with the team; Masculine noun for contact or touch with someone.
Mi **esposo** murió,My husband died; Masculine noun for a husband.
El **tren** llegó tarde,The train arrived late; Masculine noun for a train with plural trenes.
No **encontramos** nada,"We didn't find anything; encontrar in the past, for we — to find or come across, it happened and it's over."
Es el **alma** de la fiesta,He's the life of the party; Feminine noun for soul though it takes el in the singular.
Te debo una **disculpa**,I owe you an apology; Feminine noun for an apology or an excuse.
**Anda** con cuidado,Walk carefully; andar as a command to one person (tú) — to walk or go about.
Nuestro **matrimonio** acabó,Our marriage is over; Masculine noun for marriage or the married couple.
Esto es una **locura**,This is madness; Feminine noun for madness or a crazy act.
Tiene un corazón de **oro**,She has a heart of gold; Masculine noun for gold.
Con **permiso** señora,Excuse me ma'am; Masculine noun for permission or leave.
Quiero hablar con el **director**,"I want to speak to the manager; Masculine noun for a manager or principal, feminine la directora."
Estás en **peligro**,You're in danger; Masculine noun for danger.
Todos quieren **libertad**,Everyone wants freedom; Feminine noun for freedom or liberty.
Me **alegro** de verte,"I'm glad to see you; alegrarse in the present, for I — to be glad, and it always keeps the me."
**Tendremos** que esperar,"We'll have to wait; tener in the future, for we — will have."
Está a la **derecha**,It's on the right; Feminine noun for the right-hand side.
¿Dónde se **encuentra** el hotel?,"Where is the hotel?; encontrar in the present, for he/she/it — to find, or with se to be located."
De **pies** a cabeza,From head to toe; Masculine plural of pie meaning feet and a pie means on foot.
No hay **espacio** aquí,There's no room here; Masculine noun for space or room.
Mi **abuelo** era profesor,My grandfather was a teacher; Masculine noun for a grandfather whose plural abuelos means grandparents.
No te **esperaba** aquí,"I didn't expect you here; esperar in the past, for I — to expect or wait, over a stretch of time back then."
¿Qué estás **mirando**?,What are you looking at?; the -ing form of mirar — looking at or watching.
¡**Salud** y dinero!,Health and money!; Feminine noun for health and also the toast cheers.
¡Qué **sorpresa** verte aquí!,What a surprise to see you here!; Feminine noun for a surprise.
Lo he **pensado** mucho,"I've thought about it a lot; past participle of pensar (the -ed form, pairs with haber) — thought."
Él fue mi **maestro**,He was my teacher; Masculine noun for a primary school teacher or a master craftsman.
Vete al **infierno**,Go to hell; Masculine noun for hell.
Ellos **podrían** ayudarnos,"They could help us; poder the would-form, for they — they could."
¿Quiénes son esos **tipos**?,Who are those guys?; Masculine plural of tipo meaning types or kinds and informally guys.
Mi **tía** vive en la ciudad,My aunt lives in the city; Feminine noun for an aunt and in Spain slang for a woman.
No hubo ningún **crimen**,There was no crime; Masculine noun for a serious crime.
¿Nos hemos **conocido** antes?,"Have we met before?; past participle of conocer (the -ed form, pairs with haber), for having met someone."
La **iglesia** está cerca,The church is nearby; Feminine noun for a church building or the church as an institution.
Un **intento** más,One more try; Masculine noun for an attempt or a try at something.
La **mayoría** de la gente,Most people; Feminine noun for the majority and it takes a singular verb.
Te **doy** mi palabra,"I give you my word; dar in the present, for I — an odd form meaning I give or hand over."
¿Qué **hicimos** mal?,"What did we do wrong?; hacer in the past, for we — we did or we made, it happened and it's over."
Esa **escena** me encanta,I love that scene; Feminine noun for a scene in a film or where something happened.
¿Está en tu **piso**?,Is it in your flat?; Masculine noun for an apartment in Spain or a floor elsewhere.
Esa es la **señal**,That is the signal; Feminine noun for a sign or signal despite its consonant ending.
Es todo un **honor**,It is quite an honour; Masculine noun for personal dignity or a distinction given to someone.
La casa está en **llamas**,The house is on fire; Feminine plural of llama meaning the flames of a fire.
**Abre** la puerta ahora,"Open the door now; abrir in the present, for he/she/it — it also works as a command to one person (tú), open."
Mi **cerebro** no funciona,My brain is not working; Masculine noun for the brain as the organ in your head.
¿De **veras** lo hizo?,Did he really do it?; Feminine plural noun living only in de veras meaning really or truly.
Estoy **viendo** la película,I am watching the film; the -ing form of ver — seeing or watching.
Ella **pone** la mesa,"She sets the table; poner in the present, for he/she/it — to put or place something."
Me **pregunto** por qué,"I wonder why; preguntar in the present, for I — with me it means to wonder."
Está en la **cocina**,It is in the kitchen; Feminine noun for a kitchen and also for a style of cooking.
**Vestido** de novia,Wedding dress; Masculine noun for a dress or gown.
¿De quién es ese **caballo**?,Whose horse is that?; Masculine noun for a horse with yegua for a mare.
**Vienen** hacia aquí,"They are coming this way; venir in the present, for they — movement toward the speaker."
Hay **vidas** en juego,Lives are at stake; Feminine plural of vida with en juego meaning at stake.
Nos vemos en el **bar**,See you at the bar; Masculine noun for a bar which in Spain also serves coffee and food.
Necesito un **corte** de pelo,I need a haircut; Masculine el corte is a cut while la corte is a court.
¿Qué **sucedió** aquí?,"What happened here?; suceder in the past, for he/she/it — something took place, it's over."
No toma **drogas**,He does not take drugs; Feminine plural of droga for narcotics with medicina for medicine.
La policía te **busca**,"The police are looking for you; buscar in the present, for he/she/it — it already includes the idea of for."
No como **carne**,I do not eat meat; Feminine noun for meat and for flesh on the body.
**Parecía** más joven,"He seemed younger; parecer in the past, for he/she/it — that's how it looked back then, over a stretch of time."
¿Dónde está su **departamento**?,Where is his apartment?; Masculine noun for an apartment in Latin America or a government department.
Vamos al **mar**,Let us go to the sea; Masculine noun for the sea though sailors say la mar.
Sin **duda** es él,Without doubt it is him; Feminine noun for a doubt or uncertainty about something.
Hay alguien en el **edificio**,There is someone in the building; Masculine noun for a building as a structure rather than a home.
Quiero **conocer** a tu madre,"I want to meet your mother; the plain form of conocer, to be acquainted with people or places."
Estoy a **cargo** aquí,I am in charge here; Masculine noun for a post or duty as in being in charge.
Ella es la **víctima**,She is the victim; Always feminine la victima even when the person is a man.
No tengo **energía** hoy,I have no energy today; Feminine noun for personal energy and also for electrical power.
Tengo **frío**,I am cold; Masculine noun for cold which Spanish has with tener.
**Hablo** con mi jefe,"I am talking to my boss; hablar in the present, for I — I speak or I talk."
